feature,q1,q3,iqr,lower_bound,upper_bound,iqr_outlier_count,iqr_outlier_percentage,z_threshold,zscore_outlier_count,zscore_outlier_percentage
_AttackTime_Slope,-0.094,0.089,0.183,-0.36849999999999994,0.36349999999999993,5,1.25,3.0,3,0.75
_MFCC_Mean_3,0.28125,0.686,0.40475000000000005,-0.32587500000000014,1.2931250000000003,4,1.0,3.0,3,0.75
_HarmonicChangeDetectionFunction_Std,0.16,0.226,0.066,0.061,0.325,4,1.0,3.0,2,0.5
_Eventdensity_Mean,1.737,3.6925,1.9554999999999998,-1.1962499999999996,6.62575,3,0.75,3.0,2,0.5
_HarmonicChangeDetectionFunction_Mean,0.29074999999999995,0.36724999999999997,0.07650000000000001,0.17599999999999993,0.482,3,0.75,3.0,2,0.5
_Spectralcentroid_Mean,1981.55775,3182.5697499999997,1201.0119999999997,180.03975000000037,4984.087749999999,3,0.75,3.0,1,0.25
_RMSenergy_Mean,0.085,0.174,0.08899999999999998,-0.048499999999999974,0.3075,2,0.5,3.0,1,0.25
_Brightness_Mean,0.3525,0.52725,0.17475000000000002,0.09037499999999993,0.789375,1,0.25,3.0,0,0.0
_Tempo_Mean,101.49025,148.98625,47.49600000000001,30.24624999999999,220.23025,0,0.0,3.0,0,0.0
_Rolloff_Mean,3933.55275,7355.88625,3422.3334999999997,-1199.9474999999993,12489.386499999999,0,0.0,3.0,0,0.0
_Spectralspread_Mean,2506.7685,3684.32525,1177.5567499999997,740.4333750000005,5450.6603749999995,0,0.0,3.0,0,0.0
_Chromagram_Mean_1,0.057,0.55125,0.49425,-0.684375,1.2926250000000001,0,0.0,3.0,0,0.0
_Chromagram_Mean_3,0.07975,0.5765,0.49675,-0.665375,1.321625,0,0.0,3.0,0,0.0
_Chromagram_Mean_5,0.08975,0.5357500000000001,0.44600000000000006,-0.57925,1.2047500000000002,0,0.0,3.0,0,0.0
_Chromagram_Mean_6,0.01975,0.4505,0.43075,-0.626375,1.096625,0,0.0,3.0,0,0.0
_Chromagram_Mean_8,0.102,0.6355,0.5335,-0.6982499999999999,1.4357499999999999,0,0.0,3.0,0,0.0
_Chromagram_Mean_9,0.06675,0.612,0.54525,-0.751125,1.429875,0,0.0,3.0,0,0.0
_Chromagram_Mean_10,0.2645,1.0,0.7355,-0.8387500000000001,2.10325,0,0.0,3.0,0,0.0
_Chromagram_Mean_11,0.0595,0.5652499999999999,0.5057499999999999,-0.6991249999999999,1.3238749999999997,0,0.0,3.0,0,0.0
_Chromagram_Mean_12,0.06075,0.6707500000000001,0.6100000000000001,-0.8542500000000002,1.5857500000000002,0,0.0,3.0,0,0.0
