class_a,class_b,feature,pairwise_fisher_distance
angry,relax,_MFCC_Mean_9,0.02275569562949524
angry,relax,_Spectralskewness_Mean,0.02216842428435258
angry,relax,_HarmonicChangeDetectionFunction_PeriodEntropy,0.021725982729005246
angry,happy,_MFCC_Mean_5,0.021550389676946648
happy,sad,_Chromagram_Mean_4,0.021452038347287303
angry,relax,_Chromagram_Mean_5,0.02072602273797647
relax,sad,_MFCC_Mean_9,0.020469944325044676
angry,happy,_Spectralflatness_Mean,0.01973796550911427
angry,happy,_Eventdensity_Mean,0.018889130916544507
happy,sad,_MFCC_Mean_13,0.018235150652500916
happy,sad,_HarmonicChangeDetectionFunction_Slope,0.017878875118312387
relax,sad,_Chromagram_Mean_12,0.01714648784334714
happy,relax,_Fluctuation_Mean,0.017139502923833306
relax,sad,_MFCC_Mean_6,0.016818664231059446
relax,sad,_HarmonicChangeDetectionFunction_PeriodEntropy,0.016312465342078492
angry,happy,_MFCC_Mean_11,0.01629220672440332
angry,relax,_HarmonicChangeDetectionFunction_Slope,0.016289789003671586
angry,relax,_Chromagram_Mean_1,0.015205630835735822
happy,relax,_Chromagram_Mean_7,0.015205021704472287
angry,sad,_Chromagram_Mean_2,0.014864431379426958
angry,sad,_Brightness_Mean,0.014225917029076445
angry,relax,_Chromagram_Mean_2,0.014142697402100139
angry,sad,_Chromagram_Mean_11,0.012895216456891198
angry,relax,_Chromagram_Mean_11,0.01257234291203209
angry,happy,_Tempo_Mean,0.012062433870397316
angry,sad,_MFCC_Mean_2,0.011904349330456586
happy,sad,_Chromagram_Mean_6,0.011538900360242712
angry,relax,_Spectralcentroid_Mean,0.01113694875445689
angry,sad,_Spectralcentroid_Mean,0.01097149285321643
angry,sad,_Chromagram_Mean_4,0.01071535541813566
happy,relax,_Chromagram_Mean_12,0.010642064563981531
angry,sad,_AttackTime_Slope,0.010463410728193234
happy,sad,_MFCC_Mean_2,0.010211566086763378
angry,happy,_MFCC_Mean_8,0.010093028822514944
relax,sad,_Chromagram_Mean_7,0.009716005872737915
angry,relax,_MFCC_Mean_8,0.009534961404912414
angry,happy,_RMSenergy_Mean,0.009160726195674925
angry,happy,_MFCC_Mean_12,0.00820950298323466
angry,relax,_Spectralkurtosis_Mean,0.008102636283500326
happy,sad,_MFCC_Mean_10,0.007983419097526055
angry,happy,_MFCC_Mean_13,0.00776192290320191
angry,sad,_Chromagram_Mean_5,0.00732364965579197
happy,relax,_MFCC_Mean_9,0.007272641051406327
relax,sad,_MFCC_Mean_11,0.0069329397213183114
relax,sad,_Chromagram_Mean_1,0.0067732625981930085
angry,relax,_Chromagram_Mean_4,0.00659810512180576
relax,sad,_HarmonicChangeDetectionFunction_Mean,0.006590433045013169
relax,sad,_Lowenergy_Mean,0.006458658344011998
angry,relax,_MFCC_Mean_12,0.006413792765337291
happy,relax,_Chromagram_Mean_5,0.00633132352623195
relax,sad,_Spectralkurtosis_Mean,0.006239637892289249
angry,relax,_Chromagram_Mean_3,0.005701412427405966
angry,sad,_EntropyofSpectrum_Mean,0.005643578906890731
happy,relax,_Lowenergy_Mean,0.005513425910044175
happy,relax,_MFCC_Mean_13,0.00494320863737886
angry,sad,_MFCC_Mean_8,0.004825404740471954
angry,relax,_MFCC_Mean_11,0.004327866276863264
relax,sad,_Chromagram_Mean_5,0.004256020807824469
happy,sad,_Chromagram_Mean_9,0.004154191103701207
angry,happy,_HarmonicChangeDetectionFunction_PeriodFreq,0.004146420849904284
happy,sad,_MFCC_Mean_4,0.004070478918636374
angry,sad,_MFCC_Mean_10,0.003938413735409995
happy,relax,_Chromagram_Mean_10,0.0034810919748210077
happy,relax,_MFCC_Mean_7,0.003343914514991943
angry,relax,_MFCC_Mean_5,0.003331836615346218
angry,relax,_Spectralspread_Mean,0.0032364965908314716
happy,sad,_Tempo_Mean,0.002791078368502318
happy,sad,_MFCC_Mean_12,0.002623762878207468
angry,sad,_HarmonicChangeDetectionFunction_Slope,0.0026163737154793567
relax,sad,_MFCC_Mean_12,0.0022837081164387013
angry,sad,_Tempo_Mean,0.0021932164941875394
angry,happy,_Chromagram_Mean_3,0.0020632692570242053
angry,sad,_Chromagram_Mean_1,0.002058661114072273
angry,happy,_MFCC_Mean_10,0.0020014410245093642
happy,relax,_MFCC_Mean_10,0.001957439271824
happy,relax,_Chromagram_Mean_3,0.0017473442371884257
relax,sad,_MFCC_Mean_10,0.0017254950867153398
happy,sad,_MFCC_Mean_5,0.001325903665960193
relax,sad,_Spectralskewness_Mean,0.0012774404824590169
relax,sad,_RMSenergy_Mean,0.0011217806838123233
angry,happy,_Chromagram_Mean_10,0.001061937478145823
angry,sad,_Spectralflatness_Mean,0.0010618058202408695
relax,sad,_Pulseclarity_Mean,0.0009201261653667777
angry,relax,_MFCC_Mean_6,0.0009045879865915725
relax,sad,_AttackTime_Mean,0.0007945291240683673
angry,sad,_MFCC_Mean_12,0.0007781700318879116
angry,sad,_MFCC_Mean_9,0.0007201469011254907
relax,sad,_MFCC_Mean_8,0.0006590958653879055
angry,relax,_Chromagram_Mean_10,0.0006462403525697016
angry,relax,_Chromagram_Mean_6,0.0005984877215911772
angry,relax,_Chromagram_Mean_9,0.0004971360002343728
angry,relax,_Spectralflatness_Mean,0.0004535465164508581
angry,sad,_HarmonicChangeDetectionFunction_PeriodEntropy,0.00045331667049406434
happy,sad,_Chromagram_Mean_7,0.00039026703511002195
happy,sad,_MFCC_Mean_8,0.0003112698813389932
angry,relax,_Rolloff_Mean,0.00021270663809028336
relax,sad,_Spectralflatness_Mean,0.00018105635670840034
angry,relax,_MFCC_Mean_10,0.0001499198219063869
relax,sad,_Spectralcentroid_Mean,0.00014204368022887576
happy,relax,_MFCC_Mean_8,0.00011321363734651438
angry,happy,_Roughness_Mean,3.662385218835334e-05
angry,relax,_MFCC_Mean_13,2.1175368043438048e-05
relax,sad,_Chromagram_Mean_2,8.994493386093996e-06
relax,sad,_Roughness_Mean,8.196936765147453e-06
happy,sad,_Chromagram_Mean_8,8.189830047702513e-06
happy,relax,_MFCC_Mean_12,4.690839591381114e-06
happy,sad,_Roughness_Slope,9.980737726482853e-07
