Class,_RMSenergy_Mean,_Lowenergy_Mean,_Fluctuation_Mean,_Tempo_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Roughness_Mean,_Roughness_Slope,_Zero-crossingrate_Mean,_AttackTime_Mean,_AttackTime_Slope,_Rolloff_Mean,_Eventdensity_Mean,_Pulseclarity_Mean,_Brightness_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Spectralskewness_Mean,_Spectralkurtosis_Mean,_Spectralflatness_Mean,_EntropyofSpectrum_Mean,_Chromagram_Mean_1,_Chromagram_Mean_2,_Chromagram_Mean_3,_Chromagram_Mean_4,_Chromagram_Mean_5,_Chromagram_Mean_6,_Chromagram_Mean_7,_Chromagram_Mean_8,_Chromagram_Mean_9,_Chromagram_Mean_10,_Chromagram_Mean_11,_Chromagram_Mean_12,_HarmonicChangeDetectionFunction_Mean,_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_Slope,_HarmonicChangeDetectionFunction_PeriodFreq,_HarmonicChangeDetectionFunction_PeriodAmp,_HarmonicChangeDetectionFunction_PeriodEntropy
happy,0.143,0.505,6.927,58.131,1.964,-0.512,0.378,0.051,0.047,-0.232,0.056,0.116,0.04,0.045,0.021,-0.217,-0.214,662.67,0.06,1517.491,0.022,0.081,6380.263,3.775,0.114,0.572,3040.261,3235.133,1.631,5.17,0.052,0.91,0.008,0.136,0.43,0.034,0.163,0.102,0.145,0.172,0.028,1.0,0.174,0.023,0.345,0.183,0.007,1.121,0.787,0.969
happy,0.143,0.505,6.927,58.131,1.964,-0.512,0.378,0.051,0.047,-0.232,0.056,0.116,0.04,0.045,0.021,-0.217,-0.214,662.67,0.06,1517.491,0.022,0.081,6380.263,3.775,0.114,0.572,3040.261,3235.133,1.631,5.17,0.052,0.91,0.008,0.136,0.43,0.034,0.163,0.102,0.145,0.172,0.028,1.0,0.174,0.023,0.345,0.183,0.007,1.121,0.787,0.969
happy,0.196,0.53,7.854,135.699,2.444,-0.002,0.259,0.123,0.145,0.054,0.018,0.017,-0.074,-0.026,0.083,-0.119,-0.022,687.145,0.007,1293.989,0.02,-0.156,8751.922,4.009,0.45,0.484,3419.904,4122.71,1.318,3.521,0.082,0.906,1.0,0.409,0.951,0.281,0.439,0.378,0.156,0.673,0.184,0.807,0.699,0.383,0.339,0.172,-0.212,0.841,0.833,0.965
happy,0.196,0.53,7.854,135.699,2.444,-0.002,0.259,0.123,0.145,0.054,0.018,0.017,-0.074,-0.026,0.083,-0.119,-0.022,687.145,0.007,1293.989,0.02,-0.156,8751.922,4.009,0.45,0.484,3419.904,4122.71,1.318,3.521,0.082,0.906,1.0,0.409,0.951,0.281,0.439,0.378,0.156,0.673,0.184,0.807,0.699,0.383,0.339,0.172,-0.212,0.841,0.833,0.965
relax,0.059,0.585,15.541,103.953,5.161,0.483,0.276,0.262,-0.173,-0.004,-0.097,-0.081,0.18,0.211,0.127,0.044,-0.212,47.839,-0.28,425.225,0.067,0.278,1046.547,0.902,0.331,0.093,827.458,1477.092,4.862,31.899,0.019,0.762,0.002,0.102,1.0,0.211,0.0,0.0,0.0,0.119,0.0,0.055,0.016,0.0,0.268,0.268,0.007,1.035,0.589,0.967
relax,0.059,0.585,15.541,103.953,5.161,0.483,0.276,0.262,-0.173,-0.004,-0.097,-0.081,0.18,0.211,0.127,0.044,-0.212,47.839,-0.28,425.225,0.067,0.278,1046.547,0.902,0.331,0.093,827.458,1477.092,4.862,31.899,0.019,0.762,0.002,0.102,1.0,0.211,0.0,0.0,0.0,0.119,0.0,0.055,0.016,0.0,0.268,0.268,0.007,1.035,0.589,0.967
relax,0.136,0.434,5.593,100.959,3.131,-1.088,0.427,-0.051,-0.272,-0.022,-0.162,0.026,0.115,0.135,0.323,0.197,0.108,425.328,0.574,779.534,0.025,-0.236,2688.286,1.771,0.146,0.36,1682.664,2174.101,3.079,14.376,0.028,0.845,0.0,0.957,0.002,0.736,1.0,0.0,0.47,0.005,0.262,0.386,0.009,0.658,0.401,0.281,-0.194,1.223,0.757,0.968
relax,0.136,0.434,5.593,100.959,3.131,-1.088,0.427,-0.051,-0.272,-0.022,-0.162,0.026,0.115,0.135,0.323,0.197,0.108,425.328,0.574,779.534,0.025,-0.236,2688.286,1.771,0.146,0.36,1682.664,2174.101,3.079,14.376,0.028,0.845,0.0,0.957,0.002,0.736,1.0,0.0,0.47,0.005,0.262,0.386,0.009,0.658,0.401,0.281,-0.194,1.223,0.757,0.968
relax,0.138,0.578,6.464,59.927,2.827,0.391,0.187,0.127,0.091,0.012,0.311,0.085,0.262,-0.058,0.043,0.022,-0.059,290.716,0.108,309.935,0.033,-0.279,4994.694,0.668,0.058,0.282,2039.245,3467.688,2.095,6.466,0.053,0.824,0.448,0.011,0.13,0.0,1.0,0.0,0.047,0.102,0.018,0.862,0.0,0.647,0.269,0.263,-0.039,0.498,0.748,0.964
relax,0.138,0.578,6.464,59.927,2.827,0.391,0.187,0.127,0.091,0.012,0.311,0.085,0.262,-0.058,0.043,0.022,-0.059,290.716,0.108,309.935,0.033,-0.279,4994.694,0.668,0.058,0.282,2039.245,3467.688,2.095,6.466,0.053,0.824,0.448,0.011,0.13,0.0,1.0,0.0,0.047,0.102,0.018,0.862,0.0,0.647,0.269,0.263,-0.039,0.498,0.748,0.964
sad,0.11,0.622,7.863,187.003,2.81,0.406,0.311,0.098,0.038,-0.223,-0.146,-0.042,0.215,0.243,0.164,0.029,0.275,223.159,-0.249,595.627,0.046,-0.159,5155.646,1.604,0.158,0.365,2313.335,3169.557,2.071,6.943,0.049,0.856,0.326,0.0,0.246,0.072,0.219,0.034,0.029,1.0,0.32,0.398,0.444,0.016,0.33,0.219,-0.143,1.682,0.721,0.964
sad,0.11,0.622,7.863,187.003,2.81,0.406,0.311,0.098,0.038,-0.223,-0.146,-0.042,0.215,0.243,0.164,0.029,0.275,223.159,-0.249,595.627,0.046,-0.159,5155.646,1.604,0.158,0.365,2313.335,3169.557,2.071,6.943,0.049,0.856,0.326,0.0,0.246,0.072,0.219,0.034,0.029,1.0,0.32,0.398,0.444,0.016,0.33,0.219,-0.143,1.682,0.721,0.964
sad,0.205,0.517,5.754,136.335,2.151,-0.397,1.109,-0.035,0.21,0.063,0.252,0.004,0.059,0.126,-0.085,-0.029,-0.044,702.507,0.062,948.788,0.028,-0.001,3905.227,3.308,0.073,0.499,2113.413,2254.117,1.899,7.18,0.018,0.882,0.134,0.001,0.143,0.243,0.166,0.504,0.259,0.982,1.0,0.416,0.614,0.183,0.3,0.177,0.112,0.641,0.725,0.967
sad,0.205,0.517,5.754,136.335,2.151,-0.397,1.109,-0.035,0.21,0.063,0.252,0.004,0.059,0.126,-0.085,-0.029,-0.044,702.507,0.062,948.788,0.028,-0.001,3905.227,3.308,0.073,0.499,2113.413,2254.117,1.899,7.18,0.018,0.882,0.134,0.001,0.143,0.243,0.166,0.504,0.259,0.982,1.0,0.416,0.614,0.183,0.3,0.177,0.112,0.641,0.725,0.967
