SOM_X,SOM_Y,winning_neuron,true_class,som_cluster,SOM_X_jitter,SOM_Y_jitter
2,7,2_7,happy,0,1.9019515388986201,7.0267436102798175
8,2,8_2,happy,0,7.89776499405443,2.004091364684173
9,7,9_7,happy,0,9.01380703341777,6.938757177805623
9,7,9_7,happy,0,9.126327300512834,7.072014765121597
4,8,4_8,happy,0,4.012799329085875,8.059153013784076
2,8,2_8,happy,0,1.9905089339112094,7.987228135406238
1,8,1_8,happy,0,1.0228660911682035,7.947766708426823
9,8,9_8,happy,0,9.104480139336546,8.043874233666385
9,7,9_7,happy,0,9.017550600109109,7.015037886998888
3,7,3_7,happy,0,2.967125821533301,6.8841498192467965
8,6,8_6,happy,1,8.088503096804791,5.994561579521248
8,6,8_6,happy,1,8.034300515076929,6.02096286496595
8,8,8_8,happy,0,8.12286047935968,7.928024417080979
8,5,8_5,happy,0,8.014658754977752,5.015187471426995
3,1,3_1,happy,1,2.90204247746236,0.8836142011793768
1,8,1_8,happy,0,0.8905472640603468,8.106894888000973
3,7,3_7,happy,0,3.1320742345785,7.099835998804754
4,8,4_8,happy,0,4.137893257662664,7.979798613255763
1,8,1_8,happy,0,0.985638462937392,8.029076347027125
3,8,3_8,happy,0,2.969345014309121,7.80720624273601
7,5,7_5,sad,1,7.116915543379376,4.907492187178773
8,9,8_9,sad,3,7.911436345436521,8.97649768638783
4,5,4_5,sad,2,3.928421838483534,4.914229358285851
2,3,2_3,sad,2,2.0514661435751234,3.0571517186104527
3,3,3_3,sad,2,2.968431590171233,3.1597837224598395
6,5,6_5,sad,1,5.999590250662394,4.905870822445656
0,3,0_3,sad,3,-0.013075431881961006,2.9330029276731846
2,0,2_0,sad,3,2.027005963903915,0.018835869464794427
6,6,6_6,sad,1,6.112598548905098,6.12888929187997
1,0,1_0,sad,3,1.0072467925521396,-0.09778994500319226
4,6,4_6,sad,2,4.051515103462148,6.019922889784556
2,6,2_6,sad,1,1.8359862319175182,6.145703908065049
4,6,4_6,sad,2,3.9961025278455904,5.867859268145659
6,4,6_4,sad,1,5.93254157837657,3.8975144634523335
5,9,5_9,sad,3,4.90249495516611,8.966111471483133
1,0,1_0,sad,3,0.9297478106456999,-0.04164707302843288
4,6,4_6,sad,2,3.973270124743935,6.065008103020292
0,2,0_2,sad,3,0.07327220338848105,2.019332777585667
0,4,0_4,sad,3,-0.10611141741916512,3.85800303522863
0,2,0_2,sad,3,0.0024505194075533955,2.041232832232065
3,6,3_6,sad,2,2.9612664453333135,5.953796889011548
2,6,2_6,sad,1,1.9737861524510432,6.1019557773552995
6,9,6_9,sad,3,6.080220626024368,8.949792997085046
7,6,7_6,sad,1,7.043049234960314,5.949070777351821
7,7,7_7,sad,1,7.1069918485954195,7.043290528864363
0,3,0_3,sad,3,-0.012360454339992038,3.0610341185869547
7,5,7_5,sad,1,6.944324591066343,5.035847949114896
3,9,3_9,sad,0,2.98209129464956,8.865152214609216
1,4,1_4,sad,3,1.0193997433016977,4.04304275519426
0,2,0_2,sad,3,0.014125868676296883,1.9172553558660481
0,1,0_1,sad,3,-0.08675104577866932,1.0188220889270612
4,5,4_5,sad,2,4.00723918253023,4.886101245168075
2,5,2_5,sad,2,2.0182582664111126,5.035705771803445
3,3,3_3,sad,2,3.2013979230027134,2.9354720876554103
3,2,3_2,sad,2,3.1501475689025336,1.8973892279791582
2,8,2_8,sad,0,1.9317405319552945,8.057105610918592
1,4,1_4,sad,3,0.9770093310760659,4.01933156173414
1,2,1_2,sad,3,0.8829246398530397,1.9508818558885683
1,3,1_3,sad,3,0.9527434388829211,3.116094307921685
9,8,9_8,sad,0,9.025248400287227,7.964747806274421
7,6,7_6,sad,1,7.0964682896710585,6.002568613917675
6,6,6_6,sad,1,5.941673292980512,6.021513075814288
4,8,4_8,sad,0,3.947668284794576,7.950426725269711
8,6,8_6,sad,1,7.828216877620908,6.0376909034719946
4,1,4_1,sad,1,3.9869867263564074,0.9573238122268221
1,6,1_6,sad,0,0.9150068470512349,5.967068934222703
2,6,2_6,sad,1,1.957644845810714,6.109011411184268
2,6,2_6,sad,1,1.929851137746593,5.916753115799005
5,5,5_5,sad,1,4.992458995659796,4.806977573525641
5,5,5_5,sad,1,4.85938172869147,5.128874959600951
5,7,5_7,sad,1,4.882636380368721,7.2039462362085604
0,6,0_6,sad,0,0.17033976896226385,5.967578458764053
2,7,2_7,sad,0,1.8970061934980775,6.8450529567503855
1,4,1_4,sad,3,0.9122571537236288,3.9751612819043247
4,6,4_6,sad,2,4.146953082265705,5.977102164012747
9,8,9_8,sad,0,9.232405373539233,7.98480609271822
7,6,7_6,sad,1,6.906274669693973,5.910928956646252
2,1,2_1,sad,3,1.9705400834569575,1.0463648913981183
6,8,6_8,sad,3,6.027324444075241,8.041960590022887
0,6,0_6,sad,0,0.13829581155244738,5.8804475504144555
5,2,5_2,sad,1,4.921051433725741,2.055935738535591
1,2,1_2,sad,3,0.9803777723246312,2.1642147985556712
5,4,5_4,sad,1,5.062187006084939,4.013756826594965
3,1,3_1,sad,1,3.0347812859573295,0.9730139870345195
0,0,0_0,sad,3,-0.03009248569840794,-0.011360257152601706
0,9,0_9,sad,0,-0.010705837161283292,9.049220541357485
0,1,0_1,sad,3,-0.10999166466959855,0.8615462715594225
1,3,1_3,sad,3,0.9809461004820268,3.013151256238184
1,2,1_2,sad,3,0.9786890007992836,1.9687628840429752
7,8,7_8,sad,1,7.0185735911701,8.147826001036483
7,8,7_8,sad,1,6.955573822494479,7.9860661812956035
4,7,4_7,sad,1,4.037723081803611,7.133431008889562
7,4,7_4,sad,1,7.0810172654255865,3.9117007441774394
0,3,0_3,sad,3,0.012434346213477283,3.0469807333442236
2,3,2_3,sad,2,2.028140512671936,3.0255520211032985
3,5,3_5,sad,2,3.0042524278062293,4.930476220170817
0,1,0_1,sad,3,6.7514473131344346e-06,1.0141916891709553
3,7,3_7,sad,0,2.9422753573165723,7.097001506946528
7,8,7_8,sad,1,7.0253195409338645,7.974096663657072
0,5,0_5,sad,3,-0.007782927873079158,4.864642988066419
7,7,7_7,sad,1,7.167453464714447,6.998594973881804
6,6,6_6,sad,1,6.1258683921980195,5.927806152416599
7,6,7_6,sad,1,7.03086772420452,5.972612724906889
6,5,6_5,sad,1,5.938955423224418,4.99347297842519
0,4,0_4,sad,3,-0.08899291775867343,3.8635478227187585
6,7,6_7,sad,1,6.095291436247109,6.870747332854346
5,5,5_5,sad,1,5.021019938011771,5.038565346842042
1,5,1_5,sad,3,1.038411472271329,4.958182504306426
4,5,4_5,sad,2,3.860433121042065,4.7948204526543545
2,4,2_4,sad,2,2.0741950785246543,4.062787522928651
5,5,5_5,sad,1,5.036353627057149,5.021789580421939
8,4,8_4,sad,0,7.911165545246842,3.942890014077081
5,7,5_7,sad,1,4.962278015404004,6.894653583115341
2,1,2_1,sad,3,2.0210973763485214,1.066864631705147
9,0,9_0,sad,3,9.0041973438685,0.02794804980483437
0,2,0_2,sad,3,-0.0233736948642844,2.1906081826147257
9,0,9_0,sad,3,8.991720938554723,0.03361508789799499
0,1,0_1,sad,3,-0.02015819025655083,1.031016251300961
5,1,5_1,angry,1,5.012205000968198,0.9866457655913148
5,4,5_4,angry,1,5.117719357839452,4.065342069376063
5,1,5_1,angry,1,4.794667324725496,1.0500068160998524
2,9,2_9,angry,0,1.9810519788392253,9.100138000685215
7,3,7_3,angry,1,7.0141209937097955,2.958294166509017
6,1,6_1,angry,1,6.023679519174968,0.965167402164483
7,3,7_3,angry,1,6.970246833494297,2.9616717463270414
7,3,7_3,angry,1,6.859462257401713,3.0632641376943193
7,0,7_0,angry,1,7.026239638697128,0.11986995522373857
6,1,6_1,angry,1,6.1381880171331344,0.9632927605480559
7,3,7_3,angry,1,6.877291087606709,2.9660181017765526
5,3,5_3,angry,1,5.069106241095855,3.025126177909584
5,4,5_4,angry,1,4.973717982150169,3.9803390799989677
7,4,7_4,angry,1,6.995094052333692,4.076164292251192
7,8,7_8,angry,1,6.915768119143684,7.819857816750476
8,3,8_3,angry,0,7.97324350621153,2.9338635962466486
5,1,5_1,angry,1,5.1040035675759166,0.9374066932830843
7,3,7_3,angry,1,7.0466124193590165,2.8143715190091085
5,0,5_0,angry,1,5.138584928432795,-0.07709107554950433
5,3,5_3,angry,1,5.094192951118216,2.926787510732326
5,2,5_2,angry,1,5.035126934314366,1.9839116276384936
8,3,8_3,angry,0,8.139514762093423,3.089037271332821
7,2,7_2,angry,0,7.035119452699064,1.980395147904744
7,1,7_1,angry,0,7.0662390541437645,0.9175349023783077
9,3,9_3,angry,1,8.976274323717224,2.995443636702918
7,0,7_0,angry,1,7.005323665268737,0.08393388971530795
5,3,5_3,angry,1,4.944206094135978,2.921923294710808
7,1,7_1,angry,0,7.079166714767588,0.9271540092862841
6,2,6_2,angry,1,5.905735710150811,2.044683916741938
3,6,3_6,angry,2,3.0625880273934127,5.982277110741536
1,0,1_0,angry,3,0.9847479153995873,0.051798775256757947
9,3,9_3,angry,1,9.093699767477386,2.9989082566563763
6,4,6_4,angry,1,6.060069519098501,4.056133091847165
6,4,6_4,angry,1,6.145651692611744,3.917193750876749
4,7,4_7,angry,1,4.058461975291092,6.9990332279369385
7,2,7_2,angry,0,6.874236779547741,1.9831447988509474
4,2,4_2,angry,2,3.994643746168144,1.9027287260716697
6,1,6_1,angry,1,5.906239424592415,0.8749217641705049
8,8,8_8,angry,0,7.958537612610698,8.054859922821972
5,2,5_2,angry,1,5.120898274662138,1.9719238094225617
8,3,8_3,angry,0,8.051002704871816,2.9182175774682135
7,0,7_0,angry,1,6.9440855657137,-0.00769431495386658
6,0,6_0,angry,1,5.918902610684768,0.0902415085879442
7,4,7_4,angry,1,7.002622567430101,3.8175409723702463
8,4,8_4,angry,0,7.90267518804951,3.8802689048077337
9,9,9_9,angry,3,8.946308777808273,8.926169084648379
5,0,5_0,angry,1,5.0249607577241,0.11689430933762632
8,3,8_3,angry,0,8.092424962888536,3.022606958633544
5,4,5_4,angry,1,5.048700917777955,4.061385379236898
5,0,5_0,angry,1,4.816696839312152,-0.09121287353009844
5,1,5_1,angry,1,5.024349338322421,0.9104371299783579
0,7,0_7,angry,0,0.005762685858606234,7.035825097337817
9,9,9_9,angry,3,9.033111222829815,9.004661946474835
8,3,8_3,angry,0,8.129296774532097,3.04389910550913
6,2,6_2,angry,1,5.83494093785562,1.984986320725724
6,2,6_2,angry,1,5.952711725984711,2.02225149811637
7,0,7_0,angry,1,7.047272505823468,0.012649526792408734
5,4,5_4,angry,1,4.873472448043684,4.062221391126794
7,2,7_2,angry,0,7.11807592384428,2.0645606625555577
9,3,9_3,angry,1,9.029468529016052,2.8704102404486584
6,0,6_0,angry,1,6.067726718867473,-0.17978148442726846
6,0,6_0,angry,1,5.9543245070782564,0.08013963181212057
8,0,8_0,angry,0,8.065101095197297,0.09501800746095493
6,3,6_3,angry,1,6.085477724479123,2.918350158438933
6,3,6_3,angry,1,6.018630241610974,2.8512131674763497
6,3,6_3,angry,1,6.0187520714158955,3.007922785680576
4,7,4_7,angry,1,4.021627459142538,7.074467058108042
5,0,5_0,angry,1,4.93093237882085,0.14380756179474516
2,9,2_9,angry,0,1.9881977055807718,9.041303805768116
6,2,6_2,angry,1,5.987798197403811,1.9702626642731444
5,4,5_4,angry,1,5.03067150914828,3.928549550273211
4,2,4_2,angry,2,4.079985939752824,2.0009161033336524
6,1,6_1,angry,1,5.915317113441727,0.9760588236891795
7,3,7_3,angry,1,6.989999277574434,2.9187945675416946
9,3,9_3,angry,1,9.118516443812718,3.163900452069063
0,9,0_9,angry,0,-0.059487058305005135,9.14281347216577
8,0,8_0,angry,0,7.934219998616775,0.09088389468443428
5,4,5_4,angry,1,5.016184495346495,3.92633196817527
0,9,0_9,angry,0,0.06755081523882561,9.068401545943782
7,1,7_1,angry,0,7.000914084444853,1.051170112759832
6,0,6_0,angry,1,6.106316847234959,0.035403649936324236
2,8,2_8,angry,0,2.0685435186053223,8.099973221363502
9,3,9_3,angry,1,9.067345605351205,3.0508296914289024
7,3,7_3,angry,1,7.044329320105928,3.059201138904347
4,5,4_5,angry,2,4.186212248027687,5.050952502669777
4,5,4_5,angry,2,3.9835870648907163,5.0272633126401685
8,2,8_2,angry,0,7.839718216634679,1.8573111096228654
7,7,7_7,angry,1,7.1283403489213715,7.0066896861928445
8,4,8_4,angry,0,7.963384045523454,3.95550464329207
7,1,7_1,angry,0,7.008630435547443,0.8976127233887984
4,1,4_1,angry,1,4.104764054788842,1.134545329544066
0,9,0_9,angry,0,-0.12818076328471403,9.138319627270857
7,4,7_4,angry,1,6.8998682228715085,4.108737648023649
7,2,7_2,angry,0,6.871897765030492,2.02041707334847
6,0,6_0,angry,1,5.936469096797966,0.10805000967621255
5,1,5_1,angry,1,5.035170928481359,1.000964254448146
5,0,5_0,angry,1,5.041935027425022,0.01622378215182235
