TSNE1,TSNE2,Class,kmeans_cluster_on_tsne
8.453168,30.441349,happy,1
1.7757422,23.123787,happy,1
-6.896668,17.546915,happy,1
21.881464,0.44216824,happy,2
10.672213,31.846952,happy,1
9.778525,33.087654,happy,1
7.9712186,30.036146,happy,1
11.738767,25.09366,happy,1
14.367681,0.7466871,happy,2
-2.898875,29.578947,happy,1
-1.7640089,30.36208,happy,1
6.31511,12.941127,happy,2
-13.2680855,34.009468,happy,1
-7.560092,35.704506,happy,1
-21.988226,11.113054,happy,3
2.9253144,10.991357,happy,2
-1.3927766,12.757722,happy,2
-6.5318403,20.745356,happy,1
-5.3770847,29.94778,happy,1
3.879916,12.096715,happy,2
-5.9123235,36.607807,happy,1
-4.0577297,31.761944,happy,1
22.334566,-3.3482947,happy,2
21.31787,2.7963347,happy,2
-5.05397,28.250938,happy,1
13.063658,31.393858,happy,1
-3.5266736,25.850069,happy,1
-2.6451294,26.825262,happy,1
-1.462029,23.964386,happy,1
-2.5396314,28.235046,happy,1
-11.211221,33.555527,happy,1
-0.9704145,26.271675,happy,1
3.2423642,13.896616,happy,2
5.8422027,20.854755,happy,1
-11.873574,31.653503,happy,1
4.0725045,15.988223,happy,2
6.8287816,30.288752,happy,1
1.3589547,26.613226,happy,1
-3.6301875,22.277893,happy,1
-25.66928,1.7951938,happy,3
-5.4430237,21.090776,happy,1
4.921383,18.233683,happy,1
12.107602,29.1414,happy,1
13.600619,16.883558,happy,2
6.773009,22.476961,happy,1
-9.126731,33.520073,happy,1
1.5769336,13.210219,happy,2
17.54205,7.267344,happy,2
21.324799,0.0070198816,happy,2
5.5748963,24.366163,happy,1
-4.414895,36.791187,happy,1
0.46401268,31.825483,happy,1
15.14966,31.089184,happy,1
9.172582,19.352324,happy,2
3.0403478,23.266773,happy,1
-1.793214,34.650562,happy,1
-7.679018,21.40984,happy,1
15.571221,31.961435,happy,1
21.875248,4.0276303,happy,2
25.264313,-4.9344664,happy,2
25.402245,-5.42628,happy,2
5.471792,12.42405,happy,2
21.574856,1.5783278,happy,2
0.5619535,-5.5276537,happy,0
2.3297412,35.665867,happy,1
21.044804,6.1741276,happy,2
7.693509,18.999622,happy,2
-8.190364,30.62162,happy,1
21.583012,9.470519,happy,2
-1.306225,17.637438,sad,1
11.889107,4.3959007,sad,2
12.3132925,-21.622099,sad,0
-6.292958,-22.348944,sad,0
5.331879,-29.025673,sad,0
17.530529,-13.266248,sad,0
-18.330435,-11.478519,sad,3
-12.391356,-35.081863,sad,3
13.875897,-6.6971564,sad,0
-13.852052,-33.054817,sad,3
5.9304934,-24.478785,sad,0
5.399449,31.798801,sad,1
18.794167,-17.691843,sad,0
7.635027,-17.22907,sad,0
-9.519412,13.853698,sad,1
-16.043142,-32.842422,sad,3
5.6740003,-9.713839,sad,0
-22.498434,-11.919674,sad,3
-30.64948,-3.1179314,sad,3
-19.835974,-9.370306,sad,3
3.7503982,-18.858929,sad,0
10.981951,7.6099515,sad,2
-22.706848,-4.973674,sad,3
17.340181,-9.020899,sad,0
14.567188,-3.8386617,sad,2
-14.420682,-12.634844,sad,3
-2.8775358,0.13937429,sad,2
16.794483,8.1820135,sad,2
-11.738712,-17.382128,sad,3
-18.89737,-8.445884,sad,3
-24.069824,-14.850076,sad,3
6.3599167,-13.090039,sad,0
7.7713695,-30.009773,sad,0
10.07539,-23.07595,sad,0
5.141005,-16.424334,sad,0
4.9908285,27.616987,sad,1
18.44572,-12.978432,sad,0
-16.787903,-6.871286,sad,3
-8.048993,-15.459579,sad,3
7.449513,14.311767,sad,2
18.905458,-7.945079,sad,0
11.798622,-27.140854,sad,0
24.742655,7.403246,sad,2
20.67953,-6.982201,sad,0
-3.404552,-9.658714,sad,0
-12.193915,24.6585,sad,1
6.0069723,-7.5196548,sad,0
5.8944416,-7.7313604,sad,0
15.715564,-16.150225,sad,0
15.8625145,-16.753283,sad,0
-12.674694,-9.738337,sad,3
-15.138036,22.681925,sad,1
1.8519874,19.8151,sad,1
-14.302848,-17.463242,sad,3
-0.1660407,-18.220379,sad,0
8.711099,13.304098,sad,2
10.930271,-11.68607,sad,0
-17.18313,-21.649416,sad,3
-27.57116,-12.628476,sad,3
-16.274136,22.358849,sad,1
-12.407337,-26.547865,sad,3
-15.286591,-9.44355,sad,3
-0.65172017,-7.309562,sad,0
20.446182,-24.50045,sad,0
-32.195988,-12.391876,sad,3
-1.1410745,35.654224,sad,1
-24.457018,-12.669007,sad,3
-11.56157,-16.578264,sad,3
-19.858181,-13.2721405,sad,3
-9.44671,12.608746,sad,1
9.326905,-6.4081373,sad,0
19.556623,-19.143826,sad,0
-17.476896,0.18237947,sad,3
-16.955908,-11.024063,sad,3
-21.059439,-20.287193,sad,3
7.352593,-25.523447,sad,0
-22.865986,-16.196682,sad,3
23.866833,6.640032,sad,2
-12.658571,-0.04351478,sad,3
-18.452387,20.891174,sad,1
11.373977,-5.077528,sad,2
13.035039,-26.396692,sad,0
15.789298,-26.722502,sad,0
11.831583,-8.46594,sad,0
-31.34907,-4.7286353,sad,3
11.627482,-6.500499,sad,0
15.598552,-14.667225,sad,0
24.171787,3.776211,sad,2
2.9187992,-20.184834,sad,0
-3.6177974,-27.283197,sad,0
4.5753345,-11.52409,sad,0
-15.666495,12.030744,sad,1
-14.273564,-9.381193,sad,3
-16.607363,-30.411964,sad,3
-27.340559,-9.283256,sad,3
-19.880127,-10.029343,sad,3
1.2111537,3.9863293,sad,2
-24.596281,-13.344723,sad,3
0.49311864,-1.1941646,angry,2
-6.0767727,-6.3789716,angry,3
1.3280473,-4.085495,angry,2
-10.994129,36.92076,angry,1
4.7498446,7.347963,angry,2
5.6760535,16.974884,angry,2
3.1485362,9.409693,angry,2
6.9526,4.9379,angry,2
2.8414052,-0.7601024,angry,2
-7.417318,5.0652933,angry,2
3.0249426,6.747723,angry,2
8.762686,-13.988383,angry,0
-6.7907014,-4.134209,angry,3
21.391378,14.413611,angry,2
-11.643046,-0.38212338,angry,3
16.190277,16.003756,angry,2
-0.8678032,-1.3147669,angry,2
6.4948792,8.098612,angry,2
-5.180282,-4.7698684,angry,3
7.8845444,-12.068369,angry,0
-11.422861,-28.684135,angry,3
16.219526,16.899553,angry,2
-3.5831857,11.000558,angry,2
-5.4059696,4.3521028,angry,2
-9.091938,24.652729,angry,1
3.4252906,1.8920546,angry,2
8.878851,-11.757723,angry,0
-6.520281,4.85639,angry,2
-0.43870297,6.150971,angry,2
23.451075,-8.821732,angry,0
-15.933828,-31.909725,angry,3
17.435448,15.205148,angry,2
9.493758,-16.815632,angry,0
-6.108927,-1.3448665,angry,3
14.009747,-14.1975765,angry,0
-4.625065,9.646385,angry,2
1.9075774,-7.0551224,angry,0
-7.019477,-1.552152,angry,3
4.8152394,28.928272,angry,1
-10.864225,-27.224524,angry,3
19.82216,16.165016,angry,2
3.2914138,-1.891236,angry,2
5.9144464,0.32094836,angry,2
-8.61014,-1.6805011,angry,3
-15.530493,12.7195835,angry,1
3.3602297,-4.5891747,angry,2
-1.2875804,-5.5875287,angry,0
15.604997,18.618628,angry,2
2.1500714,-14.211856,angry,0
-3.1307664,-4.78805,angry,3
-0.43161246,0.42056888,angry,2
-12.702481,31.02766,angry,1
-9.608984,8.060485,angry,2
18.211552,16.849075,angry,2
-0.15573163,7.085533,angry,2
-1.9537416,7.378739,angry,2
2.397219,0.40261823,angry,2
1.0622984,-14.705534,angry,0
-4.2835903,11.928517,angry,2
18.583899,18.03552,angry,2
16.188034,12.639583,angry,2
16.11447,13.393111,angry,2
-3.5955403,3.4312656,angry,2
26.082798,17.06353,angry,2
26.216936,16.837572,angry,2
24.488895,17.199461,angry,2
3.4301138,-13.771077,angry,0
-3.04994,-3.730977,angry,2
8.14923,10.130525,angry,2
-2.1705716,5.403024,angry,2
0.0036653015,-11.157855,angry,0
1.5711766,-11.803076,angry,0
-5.957439,0.58362466,angry,2
4.9995513,5.198346,angry,2
11.7792,-18.552555,angry,0
-10.364979,18.924364,angry,1
-2.188877,2.5434358,angry,2
-6.3946433,-7.9812374,angry,3
1.7878914,36.931114,angry,1
-4.8041887,8.851826,angry,2
6.5423055,-0.41673985,angry,2
9.849208,11.440655,angry,2
11.045152,-19.919569,angry,0
7.2647953,7.2118692,angry,2
0.2045134,-16.366405,angry,0
-0.38325477,-12.4522,angry,0
-2.948545,34.468742,angry,1
13.683136,-3.8667324,angry,2
-9.902902,-1.0307102,angry,3
-6.3777404,2.639321,angry,2
-3.008404,-8.480884,angry,0
-10.41229,20.096825,angry,1
-8.870094,-3.574021,angry,3
-6.0399857,9.775561,angry,2
7.288146,-1.3478175,angry,2
0.7090515,-2.1001084,angry,2
-1.8339357,-3.1342142,angry,2
