sample_index,winning_neuron,class
122,5_7,happy
123,3_9,happy
124,9_6,happy
125,9_1,happy
126,7_1,happy
127,8_5,happy
128,9_6,happy
129,9_6,happy
130,9_6,happy
131,9_4,happy
132,8_7,happy
133,0_8,happy
134,0_8,happy
135,9_8,happy
136,0_7,happy
137,1_9,happy
138,4_9,happy
139,8_1,happy
140,8_1,happy
141,1_7,happy
142,0_9,happy
143,8_1,happy
144,1_9,happy
145,9_4,happy
146,8_6,happy
147,8_5,happy
148,1_7,happy
149,9_7,happy
150,3_8,happy
151,0_8,happy
152,9_2,happy
153,0_8,happy
154,0_7,happy
155,9_4,happy
156,8_1,happy
157,2_7,happy
158,0_7,happy
159,8_1,happy
160,9_6,happy
161,9_2,happy
162,1_7,happy
163,7_5,happy
164,1_7,happy
165,2_7,happy
166,9_5,happy
167,9_5,happy
168,3_8,happy
169,1_8,happy
170,2_9,happy
171,3_9,happy
172,8_5,happy
173,2_7,happy
174,8_2,happy
175,9_7,happy
176,9_7,happy
177,4_8,happy
178,2_8,happy
179,1_8,happy
180,9_8,happy
181,9_7,happy
182,3_7,happy
183,8_6,happy
184,8_6,happy
185,8_8,happy
186,8_5,happy
187,3_1,happy
188,1_8,happy
189,3_7,happy
190,4_8,happy
191,1_8,happy
192,3_8,happy
193,7_5,sad
194,8_9,sad
195,4_5,sad
196,2_3,sad
197,3_3,sad
198,6_5,sad
199,0_3,sad
200,2_0,sad
201,6_6,sad
202,1_0,sad
203,4_6,sad
204,2_6,sad
205,4_6,sad
206,6_4,sad
207,5_9,sad
208,1_0,sad
209,4_6,sad
210,0_2,sad
211,0_4,sad
212,0_2,sad
213,3_6,sad
214,2_6,sad
215,6_9,sad
216,7_6,sad
217,7_7,sad
218,0_3,sad
219,7_5,sad
220,3_9,sad
221,1_4,sad
222,0_2,sad
223,0_1,sad
224,4_5,sad
225,2_5,sad
226,3_3,sad
227,3_2,sad
228,2_8,sad
229,1_4,sad
230,1_2,sad
231,1_3,sad
232,9_8,sad
233,7_6,sad
234,6_6,sad
235,4_8,sad
236,8_6,sad
237,4_1,sad
238,1_6,sad
239,2_6,sad
240,2_6,sad
241,5_5,sad
242,5_5,sad
243,5_7,sad
244,0_6,sad
245,2_7,sad
246,1_4,sad
247,4_6,sad
248,9_8,sad
249,7_6,sad
250,2_1,sad
251,6_8,sad
252,0_6,sad
253,5_2,sad
254,1_2,sad
255,5_4,sad
256,3_1,sad
257,0_0,sad
258,0_9,sad
259,0_1,sad
260,1_3,sad
261,1_2,sad
262,7_8,sad
263,7_8,sad
264,4_7,sad
265,7_4,sad
266,0_3,sad
267,2_3,sad
268,3_5,sad
269,0_1,sad
270,3_7,sad
271,7_8,sad
272,0_5,sad
273,7_7,sad
274,6_6,sad
275,7_6,sad
276,6_5,sad
277,0_4,sad
278,6_7,sad
279,5_5,sad
280,1_5,sad
281,4_5,sad
282,2_4,sad
283,5_5,sad
284,8_4,sad
285,5_7,sad
286,2_1,sad
287,9_0,sad
288,0_2,sad
289,9_0,sad
290,0_1,sad
291,5_1,angry
292,5_4,angry
293,5_1,angry
294,2_9,angry
295,7_3,angry
296,6_1,angry
297,7_3,angry
298,7_3,angry
299,7_0,angry
300,6_1,angry
301,7_3,angry
302,5_3,angry
303,5_4,angry
304,7_4,angry
305,7_8,angry
306,8_3,angry
307,5_1,angry
308,7_3,angry
309,5_0,angry
310,5_3,angry
311,5_2,angry
312,8_3,angry
313,7_2,angry
314,7_1,angry
315,9_3,angry
316,7_0,angry
317,5_3,angry
318,7_1,angry
319,6_2,angry
320,3_6,angry
321,1_0,angry
322,9_3,angry
323,6_4,angry
324,6_4,angry
325,4_7,angry
326,7_2,angry
327,4_2,angry
328,6_1,angry
329,8_8,angry
330,5_2,angry
331,8_3,angry
332,7_0,angry
333,6_0,angry
334,7_4,angry
335,8_4,angry
336,9_9,angry
337,5_0,angry
338,8_3,angry
339,5_4,angry
340,5_0,angry
341,5_1,angry
342,0_7,angry
343,9_9,angry
344,8_3,angry
345,6_2,angry
346,6_2,angry
347,7_0,angry
348,5_4,angry
349,7_2,angry
350,9_3,angry
351,6_0,angry
352,6_0,angry
353,8_0,angry
354,6_3,angry
355,6_3,angry
356,6_3,angry
357,4_7,angry
358,5_0,angry
359,2_9,angry
360,6_2,angry
361,5_4,angry
362,4_2,angry
363,6_1,angry
364,7_3,angry
365,9_3,angry
366,0_9,angry
367,8_0,angry
368,5_4,angry
369,0_9,angry
370,7_1,angry
371,6_0,angry
372,2_8,angry
373,9_3,angry
374,7_3,angry
375,4_5,angry
376,4_5,angry
377,8_2,angry
378,7_7,angry
379,8_4,angry
380,7_1,angry
381,4_1,angry
382,0_9,angry
383,7_4,angry
384,7_2,angry
385,6_0,angry
386,5_1,angry
387,5_0,angry
