TSNE1,TSNE2,Class,true_label_encoded,kmeans_cluster
11.502813,7.4317884,relax,2,3
-4.3441286,8.169988,relax,2,0
-1.18523,3.6404254,relax,2,0
3.4196925,7.0387926,relax,2,3
-3.3400185,4.497319,relax,2,0
10.604705,1.1542587,relax,2,3
8.983006,5.503095,relax,2,3
8.680258,5.42998,relax,2,3
10.3459635,8.660387,relax,2,3
-0.539422,-6.510281,relax,2,1
-4.890698,7.016023,relax,2,0
-7.8921356,3.176457,relax,2,0
-0.8842143,9.080749,relax,2,0
-3.819862,8.762513,relax,2,0
6.390039,3.1872902,relax,2,3
-0.22757927,8.521453,relax,2,0
-1.6712428,2.0499318,relax,2,0
11.510903,7.4406757,relax,2,3
-6.1883073,4.075386,relax,2,0
-0.2687917,-7.467226,relax,2,1
-4.22426,4.124628,relax,2,0
1.2489115,3.6523345,relax,2,0
-0.25814092,3.8147948,relax,2,0
-5.4876494,-2.867324,happy,1,2
-2.6985874,-7.1847057,happy,1,2
-9.223997,-2.712538,happy,1,2
-6.469781,-6.8859043,happy,1,2
-2.5211692,-3.985267,happy,1,2
-6.604089,-2.160097,happy,1,2
-4.22212,-6.078359,happy,1,2
-9.474204,-3.8438401,happy,1,2
-6.503492,-0.39117774,happy,1,2
-6.2718525,-3.4606433,happy,1,2
-5.0812693,-3.4435148,happy,1,2
-6.9231358,-2.3228865,happy,1,2
-4.959381,-5.423798,happy,1,2
-1.2073934,-8.173309,happy,1,1
-6.0541005,-2.5370712,happy,1,2
0.22486344,-0.8001619,happy,1,1
-3.2465827,-1.3854289,happy,1,2
-9.759608,-2.0317729,happy,1,2
-6.4901175,-3.5302393,happy,1,2
-3.7104485,-6.6929994,happy,1,2
-2.6566582,-5.3658986,happy,1,2
-6.9856024,-5.8852615,happy,1,2
-7.9880543,-6.00702,happy,1,2
-0.43953237,-2.9794908,happy,1,1
-4.2453504,-0.8780352,happy,1,2
0.49849758,1.5137744,happy,1,0
-4.4361258,-7.7667985,happy,1,2
-6.171333,-5.438877,happy,1,2
-4.7789364,-3.998396,happy,1,2
-9.354801,1.4973856,happy,1,2
-1.4301074,-7.410125,happy,1,1
-6.5681796,-6.227774,happy,1,2
-6.767981,-5.726215,happy,1,2
-6.0436273,-5.487372,happy,1,2
-4.7650642,-5.57824,happy,1,2
-2.2427976,-2.4462636,happy,1,2
-7.545832,-3.6880693,happy,1,2
-7.8596487,-4.256176,happy,1,2
-1.5752915,-1.5692406,happy,1,1
-9.705112,-4.0048404,happy,1,2
-9.423681,-2.6086638,happy,1,2
-6.5211763,1.6798631,happy,1,0
-0.5672208,-1.6612086,happy,1,1
-0.05854563,-1.8772058,happy,1,1
-4.569601,-1.3346329,happy,1,2
-7.1905084,-3.2744176,happy,1,2
-0.98400015,-2.3693655,happy,1,1
-9.008002,-1.8910624,happy,1,2
-7.424422,-4.905205,happy,1,2
-1.142894,-8.369529,happy,1,1
-1.2097032,-6.791528,happy,1,1
-6.479681,-3.5236611,happy,1,2
-6.5877314,-6.996465,happy,1,2
-5.6960087,-4.198543,happy,1,2
-6.0799446,-3.8495684,happy,1,2
-4.287327,-3.1267934,happy,1,2
-7.040366,-3.8182654,happy,1,2
-9.103313,-3.7027142,happy,1,2
-4.4146857,-5.202197,happy,1,2
-0.8807555,-2.613346,happy,1,1
-1.7208633,-4.2584515,happy,1,1
-8.907391,-4.317614,happy,1,2
-0.19567567,-3.4620798,happy,1,1
-6.0429845,-5.3723865,happy,1,2
-3.766741,-3.437162,happy,1,2
-5.4718714,-2.7494588,happy,1,2
1.0229094,0.888215,happy,1,0
-4.994388,-2.3382022,happy,1,2
-2.1794636,-3.742331,happy,1,2
-5.5582294,-6.984249,happy,1,2
-2.2378228,-9.134029,happy,1,2
-3.6460838,-5.0256867,happy,1,2
-8.962321,-2.946538,happy,1,2
-0.4507584,-2.8901498,happy,1,1
-3.9004853,-9.045015,happy,1,2
-1.4482911,-7.497354,happy,1,1
-4.2720604,-4.41337,happy,1,2
-7.4645452,-0.51170725,happy,1,2
-8.725799,-5.649548,happy,1,2
-7.327681,-7.411832,happy,1,2
-3.374523,-4.315854,happy,1,2
-4.7432413,-7.006412,happy,1,2
-7.6851254,-1.6959548,happy,1,2
-4.5580626,-1.5014895,happy,1,2
-7.3613453,-7.520914,happy,1,2
-1.0937144,-6.428416,happy,1,1
-0.04375318,-8.931512,happy,1,1
0.055158563,-8.915475,happy,1,1
-1.1532724,-1.663999,happy,1,1
-1.3313096,-7.120888,happy,1,1
1.1672306,0.91769004,happy,1,0
-8.209098,-1.125174,happy,1,2
-1.5189579,-6.1935234,happy,1,1
-2.8912005,-4.1757703,happy,1,2
-7.6416955,-2.5903614,happy,1,2
-2.8804247,-5.8531227,happy,1,2
0.7244884,2.4346397,sad,3,0
-5.5907726,2.3989825,sad,3,0
8.82108,3.0701408,sad,3,3
4.375235,7.4776587,sad,3,3
9.562081,5.7545996,sad,3,3
5.9906693,4.3291554,sad,3,3
-0.17297456,7.073725,sad,3,0
-5.164828,3.6937926,sad,3,0
3.3645082,3.628705,sad,3,3
-4.518244,3.8299754,sad,3,0
9.514393,3.4132926,sad,3,3
-9.008727,-8.157709,sad,3,2
7.093849,5.3182836,sad,3,3
6.1711545,2.8675382,sad,3,3
-3.188518,0.05249609,sad,3,2
-4.243482,4.417054,sad,3,0
8.103342,8.465663,sad,3,3
-0.92829657,7.318504,sad,3,0
-4.3370295,8.837183,sad,3,0
0.7114064,6.21517,sad,3,0
12.083961,2.0038862,sad,3,3
2.0422053,1.4534624,sad,3,0
-2.3980777,4.1994905,sad,3,0
4.3631673,2.9030094,sad,3,3
2.7266626,2.3843737,sad,3,3
10.766921,-2.8422174,sad,3,3
1.008794,2.1702645,sad,3,0
-4.2226777,-8.925134,sad,3,2
2.6820183,5.9672875,sad,3,0
0.69548744,5.9294643,sad,3,0
-1.6018318,7.5263224,sad,3,0
8.536235,1.9152641,sad,3,3
9.575882,6.761837,sad,3,3
8.6480465,4.132888,sad,3,3
5.3950896,5.078745,sad,3,3
-3.2531989,-2.1033823,sad,3,2
-3.6138382,-10.788398,sad,3,2
-0.24953613,5.829717,sad,3,0
10.424248,1.0503782,sad,3,3
-2.116914,-1.4129266,sad,3,2
4.862983,2.8362365,sad,3,3
3.0509756,4.538555,sad,3,3
-1.0799997,-4.937126,sad,3,1
0.6159212,-10.09995,sad,3,1
8.219651,-1.2350959,sad,3,3
-5.8013806,-1.2174245,sad,3,2
5.221184,1.4417651,sad,3,3
5.236798,1.4684548,sad,3,3
7.553449,4.6139016,sad,3,3
7.6402855,4.753629,sad,3,3
0.7761503,4.4309464,sad,3,0
-6.36937,-9.357479,sad,3,2
-3.3720396,-3.2258296,sad,3,2
1.9973476,5.019394,sad,3,0
9.635058,2.057515,sad,3,3
-2.2818358,-0.98716146,sad,3,2
5.5238366,2.6537254,sad,3,3
0.49592432,9.592893,sad,3,0
-2.5032709,5.5907145,sad,3,0
-6.1870284,-9.464176,sad,3,2
3.4587529,0.4157916,sad,3,1
1.0237128,5.62667,sad,3,0
5.319185,0.19877039,sad,3,3
4.885953,5.9603205,sad,3,3
-5.9111137,5.948315,sad,3,0
-7.3467884,-1.3989091,sad,3,2
-2.108676,7.1452236,sad,3,0
2.606503,6.3490505,sad,3,0
0.92732954,7.0459375,sad,3,0
-2.6197875,0.033974465,sad,3,0
3.996448,1.8742535,sad,3,3
6.6621428,5.662809,sad,3,3
-0.4655589,3.0169945,sad,3,0
0.24435022,6.7342796,sad,3,0
5.989515,7.2959304,sad,3,3
9.231287,7.5998235,sad,3,3
-1.3463616,10.411715,sad,3,0
-0.9463919,-5.145465,sad,3,1
-3.592493,1.139635,sad,3,0
-6.835816,-10.415814,sad,3,2
3.4326751,1.7509706,sad,3,3
3.4072733,4.269366,sad,3,3
4.3411436,4.50625,sad,3,3
4.9456587,2.0902956,sad,3,3
-4.801404,8.939124,sad,3,0
3.5397937,2.1116269,sad,3,3
6.9271007,4.1790724,sad,3,3
-1.5521444,-10.627812,sad,3,1
11.511206,2.6324844,sad,3,3
11.018467,6.0042887,sad,3,3
7.1034346,2.5392241,sad,3,3
-2.4591815,-7.8695006,sad,3,2
1.0578101,4.6981363,sad,3,0
-3.7015243,5.227409,sad,3,0
-1.5257766,2.423598,sad,3,0
0.9260096,6.3267784,sad,3,0
-1.3852403,1.656247,sad,3,0
-1.8916245,7.121066,sad,3,0
2.7313259,-1.381531,angry,0,1
6.911936,-0.6437826,angry,0,3
2.1988132,0.27330354,angry,0,1
3.2906291,-9.218761,angry,0,1
1.9302225,-3.704823,angry,0,1
1.0297086,-1.8303915,angry,0,1
0.3060154,-2.2937946,angry,0,1
1.964169,-4.9838104,angry,0,1
3.3066065,-2.1474562,angry,0,1
4.866722,-4.1322064,angry,0,1
3.1474144,-4.3174024,angry,0,1
8.704276,-2.3663652,angry,0,3
5.268037,-0.32495722,angry,0,3
6.005454,-3.820477,angry,0,1
-3.6520767,0.84363997,angry,0,0
1.2980138,-5.731106,angry,0,1
3.5165606,-1.2931399,angry,0,1
1.7414933,-4.7858834,angry,0,1
6.123041,-0.9743853,angry,0,3
6.686725,0.82916784,angry,0,3
3.6965597,0.5714953,angry,0,3
1.3774136,-6.128823,angry,0,1
0.95175594,-3.1430635,angry,0,1
4.1109385,-3.6428475,angry,0,1
1.9386399,-8.03398,angry,0,1
2.5596046,-2.2600133,angry,0,1
6.70353,1.1879641,angry,0,3
4.6094027,-3.9787223,angry,0,1
2.8511558,-3.1843162,angry,0,1
1.4524326,-10.111372,angry,0,1
-3.868979,4.3905425,angry,0,0
1.2369447,-6.7746162,angry,0,1
7.5833683,-2.9992092,angry,0,1
5.484128,-2.2109873,angry,0,1
6.8549933,3.8785708,angry,0,3
1.3743823,-2.9265645,angry,0,1
5.3449564,1.4349984,angry,0,3
5.010229,-1.8475455,angry,0,1
-5.414072,-1.7496933,angry,0,2
4.122411,0.39617553,angry,0,3
2.2994556,-6.9590898,angry,0,1
3.4960046,-2.0616581,angry,0,1
2.475003,-0.93892777,angry,0,1
4.518503,-1.1132358,angry,0,1
-2.8115985,-8.039167,angry,0,2
1.2403245,-0.2628587,angry,0,1
5.585791,-0.41346884,angry,0,3
1.9440645,-5.9224186,angry,0,1
7.762181,1.5905244,angry,0,3
6.172347,-1.0650829,angry,0,3
1.5949646,-1.2509257,angry,0,1
-9.246644,-4.685357,angry,0,2
-8.684279,5.3222423,angry,0,0
1.6467688,-6.634913,angry,0,1
2.8002148,-3.6351304,angry,0,1
4.0240326,-5.1867204,angry,0,1
2.8033042,-2.4928656,angry,0,1
7.937006,1.081889,angry,0,3
0.76749384,-3.3656607,angry,0,1
1.2788762,-7.130855,angry,0,1
0.61682093,-5.3766537,angry,0,1
0.765865,-5.3972073,angry,0,1
3.5741916,-3.1040335,angry,0,1
6.2697363,-5.7913337,angry,0,1
6.271307,-5.7981777,angry,0,1
6.3264484,-5.4483023,angry,0,1
6.549228,1.9053035,angry,0,3
6.591187,-1.4449598,angry,0,3
3.881553,-6.75594,angry,0,1
4.2140455,-2.4134,angry,0,1
6.6494427,0.07953532,angry,0,3
7.3645754,1.0316871,angry,0,3
5.3839645,-2.90019,angry,0,1
1.6388624,-3.873788,angry,0,1
8.245773,-3.8322504,angry,0,1
-5.401063,-0.17184335,angry,0,2
1.7629458,-1.049794,angry,0,1
7.860454,-0.3830374,angry,0,3
-8.499627,-1.0415324,angry,0,2
1.4087317,-2.6197255,angry,0,1
2.8324616,-0.58266205,angry,0,1
-2.6938798,-0.712043,angry,0,2
7.910864,3.0937376,angry,0,3
2.5730672,-4.8959804,angry,0,1
9.149855,1.4154123,angry,0,3
8.321598,0.69598836,angry,0,3
-8.029773,-0.016740518,angry,0,2
2.959768,1.9952533,angry,0,3
-4.250018,0.02045947,angry,0,2
4.7958302,-3.2398112,angry,0,1
7.8409014,-1.0190171,angry,0,3
-5.5839896,-0.2643287,angry,0,2
4.5163565,-1.0090257,angry,0,1
1.3700782,-2.9044287,angry,0,1
2.7180965,-0.746324,angry,0,1
3.2735937,-1.0823317,angry,0,1
5.825915,-1.4659063,angry,0,1
